K,covariance_type,bic,aic,aicc
2,full,-1297.3109378491245,-1678.7647682604136,-1642.9258420859169
2,diag,2589.623297914537,2448.1853607957446,2452.6465934001185
2,tied,-13.972348557586827,-241.13024756655665,-229.27931588953803
2,spherical,10370.084606910135,10288.650643114466,10290.120662456826
3,full,-1620.8513833230422,-2195.17512798723,-2105.17512798723
3,diag,1914.0686394904017,1699.7687347649585,1710.2625619254522
3,tied,-425.27814376360084,-691.0100256231505,-674.5290129649226
3,spherical,9876.326799350323,9752.032854609566,9755.464807272288
4,full,-1762.1528425778374,-2529.3465014949243,-2348.842299814252
4,diag,1489.0944492599158,1201.9325769278219,1221.3611483563932
4,tied,-599.2169560858632,-903.5228207959926,-881.5357240217991
4,spherical,9277.583151795074,9110.429226109229,9116.706892105205
5,full,-1819.9701868983439,-2780.0337600683297,-2456.9568369914064
5,diag,1190.3095919600237,830.285752021279,861.8786723752613
5,tied,-773.9309930893754,-1116.8108406500846,-1088.3897880185057
5,spherical,8999.052752853426,8789.038846222491,8799.100447865201
6,full,-1734.3121687302998,-2887.2456561531844,-2343.2007123329595
6,diag,1091.5148574623543,658.629049916959,705.9945671583383
6,tied,-911.5273121594515,-1292.9811425707405,-1257.1422163962438
6,spherical,8716.083961343911,8463.210073767888,8478.052841063485
7,full,-1668.326617238087,-3014.1300189138706,-2123.0489378327893
7,diag,910.3753151922087,404.62754004016267,471.8141429109761
7,tied,-1020.7065171983912,-1440.73433046026,-1396.4329605972464
7,spherical,8570.770949061285,8275.037080540173,8295.722305379573
8,full,-1543.7807346996565,-3082.454050628339,-1622.1150675774923
8,diag,876.6707258235147,298.060983064818,389.63205538401996
8,tied,-973.9242618221282,-1432.5260579345768,-1378.651932060451
8,spherical,8510.202194063422,8171.608344597222,8199.266987923262
9,full,-1444.9929530894078,-3176.536183270989,-697.4452741800819
9,diag,800.9429945231846,149.47128415783706,270.5962841578371
9,tied,-996.9766153648102,-1494.1523943278385,-1429.523822899267
9,spherical,8417.653637663097,8036.199807251809,8072.038733426306
10,full,-1281.8981581660119,-3206.311302600492,1438.5162836064046
10,diag,771.393951513519,47.060273541520814,203.62703103470884
10,tied,-1083.7925109360579,-1619.542272749666,-1542.8999369832427
10,spherical,8372.959195401634,7948.645384045257,7993.954308530383
