K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-19999.14041931405,-20380.59424972534,-20344.755323550846,0.4981783330440521,537.838642580148,0.7599022571395814
2,diag,-18189.527692458843,-18330.965629577637,-18326.50439697326,0.4981783330440521,537.838642580148,0.7599022571395814
2,tied,-18898.96375550153,-19126.121654510498,-19114.27072283348,0.4981783330440521,537.838642580148,0.7599022571395814
2,spherical,-16676.263029078476,-16757.696992874146,-16756.226973531786,0.4981783330440521,537.838642580148,0.7599022571395814
3,full,-21799.134591212278,-22373.458335876465,-22283.458335876465,0.3614303469657898,443.2174566192204,1.2573936852162066
3,diag,-19030.505221464744,-19244.805126190186,-19234.31129902969,0.35839882493019104,443.3626754930614,1.0975306545641879
3,tied,-19505.845258948557,-19771.577140808105,-19755.09612814988,0.35827359557151794,443.2409447123892,1.1012104726989993
3,spherical,-17465.050461387174,-17589.34440612793,-17585.912453465207,0.33373263478279114,416.9140765944508,1.1024460510568739
4,full,-22640.407674701077,-23407.601333618164,-23227.09713193749,0.4380978047847748,495.23693711459765,0.9616575115587925
4,diag,-19251.764626080992,-19538.926498413086,-19519.497926984513,0.43575188517570496,493.0234567519643,0.9639302621365273
4,tied,-20245.13516769954,-20549.441032409668,-20527.453935635476,0.31146055459976196,317.2274260117818,1.2618238464328522
4,spherical,-18252.337372989692,-18419.491298675537,-18413.213632679563,0.4365882873535156,494.37136488781533,0.9645844278247031
5,full,-23178.417841624934,-24138.481414794922,-23815.404491717996,0.4018898606300354,426.6971467692573,1.0586177056029924
5,diag,-19615.144338619604,-19975.16817855835,-19943.575258204368,0.38629505038261414,413.17610349077466,1.1569222833772774
5,tied,-21158.936146701984,-21501.815994262695,-21473.394941631115,0.38863763213157654,415.83336672360144,1.113621483621155
5,spherical,-18746.833261337815,-18956.84716796875,-18946.785566326038,0.37052351236343384,405.3673596506002,1.1285055566180904
6,full,-23779.60146664816,-24932.534954071045,-24388.49001025082,0.3844826817512512,382.3160828117091,1.19949822836512
6,diag,-20050.86860987404,-20483.754417419434,-20436.388900178055,0.42686745524406433,375.6647865969712,0.9169122372499983
6,tied,-22133.962467501307,-22515.416297912598,-22479.5773717381,0.42706868052482605,378.5836652970646,0.9082017510295991
6,spherical,-19389.52938314541,-19642.403270721436,-19627.560503425837,0.42844653129577637,377.92140831423507,0.90748182892536
7,full,-24079.10770824853,-25424.911109924316,-24533.830028843233,0.346324622631073,353.7481594490142,1.3698405811994812
7,diag,-20371.735958978814,-20877.48373413086,-20810.297131260046,0.403579980134964,363.90631674770054,0.9627509378322111
7,tied,-22320.8702465831,-22740.89805984497,-22696.596689981958,0.4060732126235962,372.05070959671286,0.9601146783585163
7,spherical,-19655.200472909553,-19950.934341430664,-19930.249116591265,0.3994118273258209,358.1382686011609,0.9042554235411572
8,full,-24435.521069599883,-25974.194385528564,-24513.855402477722,0.31679239869117737,313.60897911454214,1.1914832331999416
8,diag,-20516.836511971527,-21095.446254730225,-21003.875182411022,0.3903566002845764,331.03474296472604,0.8868697988213763
8,tied,-22693.883563079446,-23152.485359191895,-23098.61123331777,0.4136061668395996,372.59119206955546,0.988391969912821
8,spherical,-19937.5626790067,-20276.1565284729,-20248.497885146862,0.40313592553138733,350.02352206320495,0.9125056375000041
9,full,-24741.83854853546,-26473.38177871704,-23994.29086962613,0.4002453088760376,345.7736551242836,1.060536446693509
9,diag,-20883.153762657115,-21534.62547302246,-21413.50047302246,0.4166916310787201,366.0722463878636,0.9490838370023741
9,tied,-23167.07430496031,-23664.25008392334,-23599.621512494767,0.385515034198761,339.6830483920375,0.9421745605131245
9,spherical,-20282.512474367762,-20663.966304779053,-20628.127378604557,0.4186171293258667,350.894911575207,0.8707163656408419
10,full,-24819.484865819424,-26743.898010253906,-22099.07042404698,0.4311198890209198,375.4537998773248,0.9690446516445324
10,diag,-21055.98680618938,-21780.320484161377,-21623.75372666819,0.40159398317337036,341.5444292434287,0.9804857716649735
10,tied,-23312.05968642858,-23847.809448242188,-23771.167112475763,0.4029681086540222,350.57479948836806,0.9143174950947737
10,spherical,-20559.12661070173,-20983.440422058105,-20938.13149757298,0.416147381067276,350.4411691731777,0.9659430665105566
11,full,-25187.656573728393,-27304.93963241577,-15660.653918130094,0.39478176832199097,355.4502038748097,0.9823328990590745
11,diag,-21287.914759389612,-22085.11040496826,-21886.356119253975,0.3844529688358307,352.8923893722482,1.06336458312526
11,tied,-23513.864102473264,-24088.18784713745,-23998.18784713745,0.4346081614494324,378.8767182487079,0.8846229028893638
11,spherical,-20797.112325252245,-21264.28611755371,-21208.126866968232,0.431377112865448,375.12261746198476,0.8779109477395424
12,full,-25276.071815725492,-27586.22478866577,inf,0.4148969054222107,380.7515415406085,0.9990831900061347
12,diag,-21506.73645801221,-22376.79407119751,-22128.07335047679,0.42455288767814636,345.21244208868944,0.9057771771197228
12,tied,-23661.946804498173,-24274.84453201294,-24170.050638883167,0.4304383099079132,380.6901173590342,0.9186660907518088
12,spherical,-20967.165933784694,-21477.19970703125,-21408.710498398155,0.42576637864112854,375.31208734532134,0.908842781990839
13,full,-25444.48888114789,-27947.511768341064,inf,0.431071937084198,388.31352332843716,0.9658877176739448
13,diag,-21652.525304461957,-22595.444885253906,-22287.723366266564,0.4231422543525696,363.8853142644246,0.938087749981565
13,tied,-23790.406997520397,-24441.878707885742,-24320.753707885742,0.4400784373283386,369.8616474556425,0.873361696381014
