template_version,baseline,metric,value,description
C,gmm_bic_best_label,adjusted_rand_index,0.07772177960778741,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
C,gmm_aic_best_label,adjusted_rand_index,0.05700320133069148,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
C,gmm_aicc_best_label,adjusted_rand_index,0.09280133081297716,"Agreement between baseline cluster labels and narrative_best_label (1 = perfect match, 0 ≈ random)."
C,narrative_best_label,silhouette_cosine,0.06891059875488281,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
C,narrative_best_label,calinski_harabasz,15.591960241493226,Calinski-Harabasz index in narrative embedding space (higher is better).
C,narrative_best_label,davies_bouldin,3.0952419480588533,Davies-Bouldin index in narrative embedding space (lower is better).
C,gmm_bic_best_label,silhouette_cosine,-0.0217097457498312,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
C,gmm_bic_best_label,calinski_harabasz,6.365932311063502,Calinski-Harabasz index in narrative embedding space (higher is better).
C,gmm_bic_best_label,davies_bouldin,6.060714792621204,Davies-Bouldin index in narrative embedding space (lower is better).
C,gmm_aic_best_label,silhouette_cosine,-0.07528603821992874,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
C,gmm_aic_best_label,calinski_harabasz,4.7254398460887215,Calinski-Harabasz index in narrative embedding space (higher is better).
C,gmm_aic_best_label,davies_bouldin,5.995904346679177,Davies-Bouldin index in narrative embedding space (lower is better).
C,gmm_aicc_best_label,silhouette_cosine,-0.0011536654783412814,"Cluster separation in narrative embedding space using cosine distance (higher is better, max = 1)."
C,gmm_aicc_best_label,calinski_harabasz,6.522044234732023,Calinski-Harabasz index in narrative embedding space (higher is better).
C,gmm_aicc_best_label,davies_bouldin,7.161235081168049,Davies-Bouldin index in narrative embedding space (lower is better).
