K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-21881.17440445199,-22262.62823486328,-22226.789308688785,0.32636916637420654,97.18972731964658,1.7776219268944558
2,diag,-21955.21806874058,-22096.656005859375,-22092.194773255,0.2803342938423157,40.02945644470423,3.3659642853656386
2,tied,-21672.997382057925,-21900.155281066895,-21888.304349389877,0.39243826270103455,96.59978814218012,1.333132575496775
2,spherical,-21690.027122477524,-21771.461086273193,-21769.991066930834,0.36362358927726746,79.1666759123631,2.0792751441059005
3,full,-22031.898640742307,-22606.222385406494,-22516.222385406494,0.11197615414857864,76.27486140612537,2.598535850944731
3,diag,-21966.048136808982,-22180.348041534424,-22169.85421437393,0.08368496596813202,45.293193746752884,2.7793870051327416
3,tied,-21932.36238693928,-22198.094268798828,-22181.6132561406,0.3092937767505646,72.0523256489846,1.4125461312934797
3,spherical,-21881.655453300016,-22005.94939804077,-22002.51744537805,0.20294101536273956,102.39241960053647,2.011965436091041
4,full,-21949.340558917385,-22716.534217834473,-22536.0300161538,0.11363904923200607,65.20767302720036,2.1294345246051476
4,diag,-21972.576370770934,-22259.738243103027,-22240.309671674455,0.011938701383769512,35.97878321367789,2.656981445244024
4,tied,-21941.31557999202,-22245.62144470215,-22223.634347927957,0.17754428088665009,63.461480236351385,1.6148270338927102
4,spherical,-21937.76781579975,-22104.921741485596,-22098.64407548962,0.20407241582870483,85.84537689327307,1.8003357768772117
5,full,-21778.88986082049,-22738.95343399048,-22415.876510913553,0.06770529597997665,49.30996257451023,2.149688085016033
5,diag,-21961.34417535056,-22321.368015289307,-22289.775094935325,0.021022755652666092,36.45236407029944,2.513846219003374
5,tied,-21918.576546634846,-22261.456394195557,-22233.035341563977,0.11528245359659195,56.279235893964376,1.8845303740426576
5,spherical,-21964.71988853508,-22174.733795166016,-22164.672193523304,0.09622601419687271,78.59678899859233,1.8710235797121535
6,full,-21623.206744663297,-22776.14023208618,-22232.09528826596,0.042421914637088776,49.440677978381885,2.4490531439795853
6,diag,-21941.45505091408,-22374.340858459473,-22326.975341218094,0.07376281172037125,52.7085003585552,2.0772968694973675
6,tied,-22100.768696139003,-22482.222526550293,-22446.383600375797,0.1148446649312973,59.86193810231473,1.8145119644608683
6,spherical,-21982.109598599513,-22234.983486175537,-22220.14071887994,0.09633536636829376,73.55868343816465,1.8341698947015566
7,full,-21424.439735683834,-22770.24313735962,-21879.162056278536,0.09582225978374481,50.18350571531226,2.2345950641195516
7,diag,-21917.70451824395,-22423.452293395996,-22356.265690525182,0.05211864411830902,46.711974890781576,2.2714699845277933
7,tied,-22114.480537110445,-22534.508350372314,-22490.2069805093,0.11075552552938461,54.360709280273156,1.9367902578491678
7,spherical,-21988.347315866096,-22284.081184387207,-22263.395959547808,0.1131104901432991,70.3503849920336,1.8189733918134035
8,full,-21266.18166454007,-22804.85498046875,-21344.515997417908,0.07719684392213821,54.058191928654125,2.048890653870062
8,diag,-21895.66037976938,-22474.270122528076,-22382.699050208874,0.056555673480033875,48.12865864557157,2.153844193531642
8,tied,-22112.318610229104,-22570.920406341553,-22517.046280467428,0.10604526102542877,50.747222874569616,1.8851881088229856
8,spherical,-21992.00598116124,-22330.59983062744,-22302.941187301403,0.09978312999010086,65.497821084516,1.8373256401178253
9,full,-21093.899614209287,-22825.44284439087,-20346.351935299957,0.06617887318134308,51.97752346016932,2.0741179507401264
9,diag,-21833.168758232066,-22484.640468597412,-22363.515468597412,0.08091214299201965,54.132393656247345,1.9193036530910723
9,tied,-22090.47476806456,-22587.650547027588,-22523.021975599015,0.10564392805099487,49.75222781885528,1.848770974108265
9,spherical,-21996.6561167933,-22378.10994720459,-22342.271021030094,0.10249026864767075,61.522871270413766,1.720581390340451
10,full,-20942.364695226162,-22866.777839660645,-18221.950253453717,0.05099058151245117,42.400333257081826,2.0654301421251504
10,diag,-21795.59909561809,-22519.932773590088,-22363.3660160969,0.08181600272655487,50.17267978041304,1.841195065023276
10,tied,-22086.538846737418,-22622.288608551025,-22545.6462727846,0.10271710902452469,43.28343557598441,1.8497365165545574
10,spherical,-21982.658825820137,-22406.972637176514,-22361.66371269139,0.10593488067388535,62.559512882811276,1.7355814886088972
